u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at,product_category
C8SBTOTF,WD Elements 2 TB Wired External Hard Disk Drive (HDD),5199,7905,34% off,75618,6969,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0, USB 2.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-elements-2-tb-wired-external-hard-disk-drive-hdd/p/itmf5ga7rqpzjk4c?pid=ACCF5GA7DQB5UYKF&lid=LSTACCF5GA7DQB5UYKFQ9OORP&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_1&otracker=browse&fm=organic&iid=en_JhbpIcwqQiPstKchJlcaY6Xrd5LKlUYqaDciYkPdEkTHlrDmNDs3W4WN%2B9JWEK%2BR8KsO8evchuGg0YFlgim87A%3D%3D&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:48.220420+05:30,HDD
X2LP5CO7,WD My Passport 1 TB External Hard Disk Drive (HDD),3899,8120,51% off,28319,2588,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-1-tb-external-hard-disk-drive-hdd/p/itm49af26ca1ad50?pid=ACCFH7XCF2FAQQ2A&lid=LSTACCFH7XCF2FAQQ2APHKVSD&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_2&otracker=browse&fm=organic&iid=en_JhbpIcwqQiPstKchJlcaY6Xrd5LKlUYqaDciYkPdEkT7JEzcZHuu2oUMI%2FKmUSgr6%2Ffr9apP%2BUJ3od%2B3Twqr7w%3D%3D&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:48.610573+05:30,HDD
FLQACVOX,WD 1.5 TB Wired External Hard Disk Drive (HDD),3999,5600,28% off,75618,6969,4.4,"['Portable Hard Drive', 'Capacity: 1.5 TB', 'Connectivity: USB 3.0, USB 2.0', '1 Port', '2 Years Warranty']",https://www.flipkart.com/wd-1-5-tb-wired-external-hard-disk-drive-hdd/p/itmfcyh2wheuvhbk?pid=ACCFCYH2FGJBJRFS&lid=LSTACCFCYH2FGJBJRFSW7VVVN&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&spotlightTagId=BestsellerId_6bo%2Fjdy%2Fnl6&srno=b_1_3&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCFCYH2FGJBJRFS.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:49.004671+05:30,HDD
WM8KWQ6Q,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,5349,7999,33% off,10285,776,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-2-tb-external-hard-disk-drive-hdd/p/itmd970bf65e63be?pid=ACCG3FE4S2JFUGBK&lid=LSTACCG3FE4S2JFUGBKHQLEPP&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_4&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG3FE4S2JFUGBK.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:49.401648+05:30,HDD
J5J1VDCU,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,5349,7999,33% off,10285,776,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-2-tb-external-hard-disk-drive-hdd/p/itm3ca076be6fb4b?pid=ACCG3FE4FHG8VH3U&lid=LSTACCG3FE4FHG8VH3UO4PBOC&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_5&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG3FE4FHG8VH3U.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:49.788899+05:30,HDD
RA0U5CT4,WD My Passport 2 TB External Hard Disk Drive (HDD),5199,8385,37% off,28319,2588,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-2-tb-external-hard-disk-drive-hdd/p/itm07a1c9ee6d776?pid=ACCFH7XCHDGQGGFG&lid=LSTACCFH7XCHDGQGGFGVTWPJ7&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_6&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCFH7XCHDGQGGFG.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:50.150299+05:30,HDD
H7GQR25H,Seagate Basic Portable STJL1000400 1 TB External Hard Disk Drive (HDD),3699,5899,37% off,446,30,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-basic-portable-stjl1000400-1-tb-external-hard-disk-drive-hdd/p/itm79ccb1b41d105?pid=ACCGF37AFD4PTGXT&lid=LSTACCGF37AFD4PTGXTBRW4HC&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_7&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCGF37AFD4PTGXT.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:50.571105+05:30,HDD
8PWQFK88,WD My Passport 2 TB External Hard Disk Drive (HDD),5299,8385,36% off,28319,2588,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-2-tb-external-hard-disk-drive-hdd/p/itm5b99655b2db2c?pid=ACCFH7XCSJRDF2DK&lid=LSTACCFH7XCSJRDF2DKPWATKL&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_8&otracker=browse&fm=organic&iid=en_JhbpIcwqQiPstKchJlcaY6Xrd5LKlUYqaDciYkPdEkSaLXjKvwwd8ONwLkmTTAym0eaGtQ4wzTbuSnp9VfjuzA%3D%3D&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:50.944905+05:30,HDD
GCIWNEI9,Seagate Ultra Touch 2 TB External Hard Disk Drive (HDD),5499,7999,31% off,17138,1564,4.5,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0, USB 2.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-ultra-touch-2-tb-external-hard-disk-drive-hdd/p/itm575cf91112957?pid=ACCFFUEQ4UKGTNRC&lid=LSTACCFFUEQ4UKGTNRCTHK9YO&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_9&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCFFUEQ4UKGTNRC.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:51.328640+05:30,HDD
ZO4JWQ69,Seagate Expansion for Windows and Mac with 3 years Data Recovery Services – Portable 2 TB External Har...,5149,6999,26% off,1768,127,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-expansion-windows-mac-3-years-data-recovery-services-portable-2-tb-external-hard-disk-drive-hdd/p/itm9dfe3462c3843?pid=ACCG3FE4ABHXBYZD&lid=LSTACCG3FE4ABHXBYZDGYSU3Q&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_10&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG3FE4ABHXBYZD.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:51.730506+05:30,HDD
CP8ARD2Z,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,9049,12999,30% off,10285,776,4.4,"['Portable Hard Drive', 'Capacity: 5 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-5-tb-external-hard-disk-drive-hdd/p/itm35802e2677403?pid=ACCG3FE473KV5DYT&lid=LSTACCG3FE473KV5DYTT3THD7&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_11&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG3FE473KV5DYT.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:52.119055+05:30,HDD
GJ4X9LJS,WD My Passport 5 TB External Hard Disk Drive (HDD),8699,20000,56% off,28319,2588,4.4,"['Portable Hard Drive', 'Capacity: 5 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-5-tb-external-hard-disk-drive-hdd/p/itmcfbc6e4e2713f?pid=ACCFH7XCDNVV7YFJ&lid=LSTACCFH7XCDNVV7YFJHCKEQL&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_12&otracker=browse&fm=organic&iid=en_JhbpIcwqQiPstKchJlcaY6Xrd5LKlUYqaDciYkPdEkSrjt1WV3c8B1UW7DcfHJRbiwm6NCkpH%2F%2BTiY0QVj%2FbDw%3D%3D&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:52.500039+05:30,HDD
DGU70JCE,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,4049,4999,19% off,10285,776,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itm6c44dc4def352?pid=ACCG3FE4APVZGCXY&lid=LSTACCG3FE4APVZGCXYMHIJAQ&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_13&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG3FE4APVZGCXY.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:52.896621+05:30,HDD
TG4XHHEK,TOSHIBA Canvio Ready 1 TB External Hard Disk Drive (HDD),3499,6313,44% off,4382,327,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.2', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-canvio-ready-1-tb-external-hard-disk-drive-hdd/p/itmf8a3582a1d9dd?pid=ACCG2ZYZPTAPDUSK&lid=LSTACCG2ZYZPTAPDUSKCHGXA6&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_14&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG2ZYZPTAPDUSK.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:53.278313+05:30,HDD
5SDJ5YOT,TOSHIBA Canvio Ready 2 TB External Hard Disk Drive (HDD),4999,7773,35% off,4382,327,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.2', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-canvio-ready-2-tb-external-hard-disk-drive-hdd/p/itmb38975870edf6?pid=ACCG2ZYZCHFZEDSH&lid=LSTACCG2ZYZCHFZEDSHDZKYXX&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_15&otracker=browse&fm=organic&iid=5dfd9a8e-fbae-43f9-a604-ff31ca0d0bfd.ACCG2ZYZCHFZEDSH.SEARCH&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:53.665724+05:30,HDD
TFP30QOD,Seagate Expansion for Windows and Mac with 3 years Data Recovery Services – Portable 1 TB External Har...,3899,4999,22% off,1768,127,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-expansion-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itmcefa901213e7c?pid=ACCG3FE4FYCHZ3U2&lid=LSTACCG3FE4FYCHZ3U241JKWA&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_16&otracker=browse&fm=organic&iid=en_JhbpIcwqQiPstKchJlcaY6Xrd5LKlUYqaDciYkPdEkQSDpwCucEbsiMnKFQUbr0mMkuV3POTV2ROjmb2WujooA%3D%3D&ppt=None&ppn=None&ssid=j3d1rq4ymo0000001664643675230,2022-10-01 22:30:54.080522+05:30,HDD
