u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
X2AL37JU,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,41990,59400,29% off,11433,1391,4.3,"['Power Consumption: 840.75 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty, 5 Years on PCB and 10 Years on Compressor']",https://www.flipkart.com/panasonic-1-5-ton-5-star-split-inverter-ac-wi-fi-connect-white/p/itme1f99a76a1d68?pid=ACNGB9GH8KMM5BG7&lid=LSTACNGB9GH8KMM5BG73M9XPA&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_4t2N019doYijEJ2sSrEG3xwwlzdYcgBCz31HQiKMymdtamX3YjJYN0ulIV7sgyd6%2BvtEtHsLnxLRFBZ89PT7og%3D%3D&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:09.782871+05:30
TWSKZZHP,Panasonic 1 Ton 3 Star Split Inverter AC  - White,30290,47100,35% off,1198,158,4.2,"['Power Consumption: 1095 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",https://www.flipkart.com/panasonic-1-ton-3-star-split-inverter-ac-white/p/itm47414102a7dee?pid=ACNGB9GHZA9GEHDT&lid=LSTACNGB9GHZA9GEHDTBUJ7JC&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_4t2N019doYijEJ2sSrEG3xwwlzdYcgBCz31HQiKMymeTf%2BiKH6bw%2BaNidv7p59FA3UkPIEoQ32a3nWG3jhwxMg%3D%3D&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:09.957821+05:30
9EY50KFD,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,37490,73990,49% off,3907,394,4.2,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-5-star-split-inverter-ac-white/p/itm58bad921e1c0b?pid=ACNGDE8KYPYMRVNT&lid=LSTACNGDE8KYPYMRVNTIUI0SN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGDE8KYPYMRVNT.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.109894+05:30
0MJR7GTR,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,33990,69990,51% off,3907,394,4.2,"['Power Consumption: 1540 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-4-star-split-inverter-ac-white/p/itmc3dc76ba01e13?pid=ACNGDE8KXHYRXBRV&lid=LSTACNGDE8KXHYRXBRVLMEF1T&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGDE8KXHYRXBRV.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.286495+05:30
TBUE1JJ4,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,32490,61990,47% off,3907,394,4.2,"['Power Consumption: 1690 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm7861cd35e658c?pid=ACNGDCRYNXG75SKZ&lid=LSTACNGDCRYNXG75SKZMWSBUL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGDCRYNXG75SKZ.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.440597+05:30
I3ON30EX,"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with...",42990,75990,43% off,8764,911,4.2,"['Power Consumption: 818.81 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",https://www.flipkart.com/lg-super-convertible-6-in-1-cooling-1-5-ton-5-star-split-dual-inverter-ai-4-way-swing-hd-filter-anti-virus-protection-ac-white/p/itm69e7e3744f2e8?pid=ACNG9VHY4EYCKNKN&lid=LSTACNG9VHY4EYCKNKNZY6TJF&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNG9VHY4EYCKNKN.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.594940+05:30
NO0B66K4,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,36999,61990,40% off,824,159,4.3,"['Power Consumption: 864.66 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",https://www.flipkart.com/lloyd-1-5-ton-5-star-split-inverter-ac-white/p/itm7f5ee474c8186?pid=ACNGCPHUEZXBDTZY&lid=LSTACNGCPHUEZXBDTZYBPEK7Q&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGCPHUEZXBDTZY.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.749409+05:30
TP99RFG2,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,34990,61250,42% off,208,18,4.2,"['Power Consumption: 1007.86 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']",https://www.flipkart.com/blue-star-1-5-ton-3-split-inverter-ac-white/p/itmc933e20076387?pid=ACNGHBGY3ZUJY9RA&lid=LSTACNGHBGY3ZUJY9RAK9RUMN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_4t2N019doYijEJ2sSrEG3xwwlzdYcgBCz31HQiKMymeVtxLweyDlXknOa%2Fefm2442iTbWLRaH4hWYqAU5BKNJw%3D%3D&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:10.909248+05:30
04WDMMG7,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,34990,55400,36% off,11433,1391,4.3,"['Power Consumption: 1770 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",https://www.flipkart.com/panasonic-1-5-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm9ffcd5bd30972?pid=ACNGB9GHXHMBGBTH&lid=LSTACNGB9GHXHMBGBTHCFBGJW&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGB9GHXHMBGBTH.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:11.061091+05:30
3JVYOBT4,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,32990,64600,48% off,6280,729,4.1,"['Power Consumption: 1570 W', 'Room Size: 111 to 150 sqft', '1 year comprehensive+5year on compressor']",https://www.flipkart.com/whirlpool-4-1-convertible-cooling-1-5-ton-3-star-split-inverter-ac-white/p/itmadca6acbc4182?pid=ACNGBKQRZTNQVZW6&lid=LSTACNGBKQRZTNQVZW6CHO4F3&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=bb026fb7-07bf-4d78-aa3c-806fadccadb7.ACNGBKQRZTNQVZW6.SEARCH&ppt=None&ppn=None&ssid=3lr6x776nk0000001666438265822&qH=e2075474294983e0,2022-10-22 17:00:11.220036+05:30
