u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
STVM7QU4,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,24190,31990,24% off,20565,2047,4.4,"['Digital Inverter Compressor', 'Built-in Stabilizer', '1 Year Warranty on Product and 10 Years on Compressor From Samsung']",https://www.flipkart.com/samsung-253-l-frost-free-double-door-3-star-refrigerator/p/itm949def2bc9705?pid=RFRFZ928SXZVVCDJ&lid=LSTRFRFZ928SXZVVCDJSCZLAF&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&spotlightTagId=BestsellerId_j9e%2Fabm%2Fhzg&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFZ928SXZVVCDJ.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:01.228626+05:30
UCUBHF99,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,16690,21990,24% off,9261,1130,4.4,"['Digital Inverter Compressor', 'Built-in Stabilizer', '1 Year Warranty on Product and 10 Years on Compressor From Samsung']",https://www.flipkart.com/samsung-198-l-direct-cool-single-door-4-star-refrigerator-base-drawer-digi-touch/p/itm801bf56c6b028?pid=RFRGFWVAJGMBKBRM&lid=LSTRFRGFWVAJGMBKBRMICRYZG&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRGFWVAJGMBKBRM.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:01.676625+05:30
57D2PR3K,LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,16990,21490,20% off,8905,974,4.4,"['Smart Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor From LG']",https://www.flipkart.com/lg-190-l-direct-cool-single-door-5-star-refrigerator-base-drawer-smart-inverter-compressor/p/itm810ce92a16596?pid=RFRFX5PHZGKUHFZC&lid=LSTRFRFX5PHZGKUHFZC4CRVS2&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFX5PHZGKUHFZC.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:02.131625+05:30
79WV6R8C,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,16490,19990,17% off,53453,6177,4.5,"['Digital Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor From Samsung']",https://www.flipkart.com/samsung-198-l-direct-cool-single-door-4-star-refrigerator-base-drawer/p/itmd98c9be1e7f71?pid=RFRFZCFCAZHDWHNG&lid=LSTRFRFZCFCAZHDWHNGPEYPFZ&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFZCFCAZHDWHNG.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:02.539625+05:30
CKQIOCRW,LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,15990,18990,15% off,34885,3382,4.4,"['Smart Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor From LG']",https://www.flipkart.com/lg-190-l-direct-cool-single-door-4-star-refrigerator-base-drawer/p/itm5a4791ce01dcd?pid=RFRFGYGHU7AJETNZ&lid=LSTRFRFGYGHU7AJETNZ0G7T8G&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFGYGHU7AJETNZ.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:02.963626+05:30
W6XDFRNY,SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,12790,14990,14% off,34272,3239,4.4,"['Linear Compressor', 'Built-in Stabilizer', '1 Year Warranty on Product and 10 Years on Compressor From Samsung']",https://www.flipkart.com/samsung-192-l-direct-cool-single-door-2-star-refrigerator/p/itm2594de17e8c4d?pid=RFRFZ928ZMW8TWTC&lid=LSTRFRFZ928ZMW8TWTCNCA8IM&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFZ928ZMW8TWTC.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:03.498625+05:30
JNBXAZRG,Haier 195 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,15990,29100,45% off,100,15,4.4,"['Reciprocatory Compressor', 'Built-in Stabilizer', '1 Year Warranty on Product and 10 Years Warranty on Compressor']",https://www.flipkart.com/haier-195-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itm184a91512a101?pid=RFRGGSH53ZWPZTCB&lid=LSTRFRGGSH53ZWPZTCBL6B8NL&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRGGSH53ZWPZTCB.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:04.011626+05:30
8ZKNUD1G,LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,24490,33690,27% off,16297,1968,4.4,"['Smart Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor from LG']",https://www.flipkart.com/lg-260-l-frost-free-double-door-top-mount-3-star-refrigerator-smart-inverter/p/itme01a20547384b?pid=RFRGYRZDBHUEFEFW&lid=LSTRFRGYRZDBHUEFEFWXEFAHP&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRGYRZDBHUEFEFW.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:04.452625+05:30
VE69P105,LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,24990,36390,31% off,7658,718,4.4,"['Smart Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor from LG']",https://www.flipkart.com/lg-260-l-frost-free-double-door-top-mount-3-star-convertible-refrigerator-smart-inverter/p/itme8e4741228ce3?pid=RFRGYRZDHMFBJCGZ&lid=LSTRFRGYRZDHMFBJCGZHY0UXX&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRGYRZDHMFBJCGZ.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:04.885625+05:30
GKW7VGBS,SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,17690,21990,19% off,53453,6177,4.5,"['Digital Inverter Compressor', 'Built-in Stabilizer', '1 Year on Product and 10 Years on Compressor From Samsung']",https://www.flipkart.com/samsung-198-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itm1f53955cd314c?pid=RFRFNDEEWBH9CJWV&lid=LSTRFRFNDEEWBH9CJWVTZCH7S&marketplace=FLIPKART&q=fridge&store=j9e%2Fabm%2Fhzg&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=fac906b1-7dca-4303-9d17-8160728ac1b0.RFRFNDEEWBH9CJWV.SEARCH&ppt=None&ppn=None&ssid=hbm9ukisww0000001665915468665&qH=2be977f3ff92dd10,2022-10-16 15:47:05.314625+05:30
