u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
LD30OIOI,"IFB 6.5 kg 5 Star Aqua Energie,Hard Water Wash Fully Automatic Front Load with In-built Heater Silver",25490,28990,12% off,1823,132,4.2,"['1000 rpm Max Speed', '5 Star Rating', '4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support']",https://www.flipkart.com/ifb-6-5-kg-5-star-aqua-energie-hard-water-wash-fully-automatic-front-load-in-built-heater-silver/p/itm0441efb375f0e?pid=WMNG537SA5WF7D35&lid=LSTWMNG537SA5WF7D35SOIHTX&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_%2FsWLdWYD9pQWjW3%2BxUZ8TgFPaMmtsQ4Uv2xLJqECUWuFNmQvcK%2F2OICxhT8Tpf46O7GdsLQ6AVTorw2gfaeNQQ%3D%3D&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:41.490941+05:30
FC89YC9C,"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White",22890,26390,13% off,6352,532,4.2,"['800 rpm Max Speed', '5 Star Rating', '4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support']",https://www.flipkart.com/ifb-6-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-in-built-heater-white/p/itm3bf21ef8dc5e7?pid=WMNGDMYHAKGZHEPK&lid=LSTWMNGDMYHAKGZHEPKZXNDIY&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_%2FsWLdWYD9pQWjW3%2BxUZ8TgFPaMmtsQ4Uv2xLJqECUWvY2aOE4AykupAWfIP2VB%2BU9ec3WYYINNd%2Bsxh%2Fchz36g%3D%3D&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:41.821720+05:30
4CENWCDZ,SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Grey,15990,21500,25% off,70211,5490,4.4,"['700 rpm Max Speed', '5 Star Rating', '3 Years Warranty on Product and 12 Years Warranty on Motor']",https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-diamond-drum-fully-automatic-top-load-grey/p/itm5814d96c6faa5?pid=WMNFPVW74ZSHUT5F&lid=LSTWMNFPVW74ZSHUT5FZDBTBL&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNFPVW74ZSHUT5F.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:42.144061+05:30
RKQVY3ZS,SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver,14290,16800,14% off,70211,5490,4.4,"['680 rpm Max Speed', '3 Star Rating', '2 Years on Product and 2 Years on Motor from Samsung']",https://www.flipkart.com/samsung-6-5-kg-diamond-drum-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5&lid=LSTWMNFV6ZYDFQFJGT5TJW2UD&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNFV6ZYDFQFJGT5.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:42.500902+05:30
1K5GV610,"realme TechLife 7 kg 5 Star Rating Semi Automatic Top Load White, Black",8290,12490,33% off,7675,921,4.2,"['1400 RPM Max Speed', '5 Star Rating', '2 Years Comprehensive and 5 Years on Wash Motor']",https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZKCTHM6&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNGBFX49DZJWFKZ.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:42.813040+05:30
HMT0W58F,SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...,21990,26500,17% off,21853,2180,4.4,"['1000 rpm Max Speed', '5 Star Rating', '3 Years on Product and 10 Years on Motor from Samsung']",https://www.flipkart.com/samsung-6-kg-5-star-hygiene-steam-ceramic-heater-fully-automatic-front-load-in-built-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ&lid=LSTWMNFP6FWBB4AMHYJVZX57N&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNFP6FWBB4AMHYJ.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:43.310251+05:30
KOLJL1JX,"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple",10690,13500,20% off,18802,1715,4.4,"['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product and 5 Years on Motor']",https://www.flipkart.com/samsung-7-kg-semi-automatic-top-load-grey-purple/p/itm5c2eea1d02979?pid=WMNGCYG9HQFBCUBJ&lid=LSTWMNGCYG9HQFBCUBJBAP2OM&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNGCYG9HQFBCUBJ.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:43.609356+05:30
N0XHEURE,"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey",11190,11250,0,65258,6118,4.4,"['1450 rpm Max Speed', '5 Star Rating', '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']",https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itm82ee7ce49e04c?pid=WMNFH8WMMYH8WVAQ&lid=LSTWMNFH8WMMYH8WVAQ3WTUET&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_%2FsWLdWYD9pQWjW3%2BxUZ8TgFPaMmtsQ4Uv2xLJqECUWt0JYQzORQ0WuBRYje%2B01Si8ox77JN6fl%2BR6oGDzQncEA%3D%3D&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:43.925241+05:30
DME6UIBP,SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,18390,21500,14% off,70211,5490,4.4,"['700 rpm Max Speed', '5 Star Rating', '3 Years on Product and 12 Years on Motor']",https://www.flipkart.com/samsung-7-kg-inverter-5-star-eco-bubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmfad620b791ea9?pid=WMNGGUWZK6VEQPXD&lid=LSTWMNGGUWZK6VEQPXDBGVOA0&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNGGUWZK6VEQPXD.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:44.223132+05:30
8JZOJZKI,"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load White, Grey, Purple",9190,9900,7% off,14374,1137,4.4,"['1300 rpm Max Speed', '5 Star Rating', '2 Years Warranty on Product and 5 Years on Motor']",https://www.flipkart.com/samsung-6-kg-5-star-center-jet-technology-semi-automatic-top-load-white-grey-purple/p/itmc4c87248a9a26?pid=WMNFUGBCYDGMKE74&lid=LSTWMNFUGBCYDGMKE74FUYZ3U&marketplace=FLIPKART&q=washingmachine&store=j9e%2Fabm%2F8qx&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=62f57c60-59b7-4d64-963a-8e4786bd6a18.WMNFUGBCYDGMKE74.SEARCH&ppt=None&ppn=None&ssid=17tkf4oz5s0000001667800241636&qH=a571f4db750e946c,2022-11-07 11:20:44.530240+05:30
