u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
XRXAXFEH,Pureit Advanced Plus RO+MF+MP 7 L RO + MF Water Purifier,7799,11399,31% off,3562,454,4.5,"['Electrical & Storage', 'Filtration Capacity: 12 L/hr', '1 Year Domestic Warranty']",https://www.flipkart.com/pureit-advanced-plus-ro-mf-mp-7-l-ro-mf-water-purifier/p/itmb9083e6b1f12c?pid=WAPG72BSUWWGYPHN&lid=LSTWAPG72BSUWWGYPHN5OLEBV&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_CD2pEEIXkFKQOlpoFff7jhgpinS32Wrp5ovkngznybocSW2hl74o%2Fmyb%2FKWVf1myUys64jRN%2B0sEvOjwfiF26g%3D%3D&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:17.973681+05:30
FETN4X61,Pureit Max Water Saver 10 L RO + UV + MF Water Purifier with Eco Recovery Technology,13999,22500,37% off,6731,1034,4.5,"['Electrical & Storage', 'Filtration Capacity: 24 L/hr', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",https://www.flipkart.com/pureit-max-water-saver-10-l-ro-uv-mf-purifier-eco-recovery-technology/p/itm7f39a109128ae?pid=WAPFSKAFTNGVZA6F&lid=LSTWAPFSKAFTNGVZA6FRFFKSI&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_CD2pEEIXkFKQOlpoFff7jhgpinS32Wrp5ovkngznybr08PHxChQD0ezwT15N4riUkOYcn6AbWlT133oPoRNe6A%3D%3D&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.119276+05:30
3F9MP3U6,Aqua Fresh EPICAQUA+RO+UV+UF+TDSADJUSTER 15 L RO + UV + UF + ATDS Water Purifier,4276,16500,74% off,4916,789,4.1,"['Electrical & Storage', 'Filtration Capacity: 12 L/hr', ""warranty on Moter/Smps available from Manufacturer. But Installation amount will be paid by customer 500-700/- . If any problem during warranty period, then buyer will courier to Manufacturer or service center address after that Manufacturer will replace MOTER/SMPS (Manufacturer will courier parts and it will get delivered to customer's address within maximum 4-6 days (working days) and every visit will be chargeable after the installation (RS300/-) All service will be chargeable.""]",https://www.flipkart.com/aqua-fresh-epicaqua-ro-uv-uf-tdsadjuster-15-l-ro-uv-uf-atds-water-purifier/p/itm7d7c9c61fb4eb?pid=WAPFJHYWBYVYKUVM&lid=LSTWAPFJHYWBYVYKUVMIYNT1U&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPFJHYWBYVYKUVM.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.280517+05:30
NTV876I2,Aquagrand SkyLand 18 Ltr RO + UV + UF + TDS Water Purifier 18 L RO + UV + UF + TDS Water Purifier,4680,14500,67% off,12138,1928,4,"['Electrical & Storage', 'Filtration Capacity: 18 L/hr', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",https://www.flipkart.com/aquagrand-skyland-18-ltr-ro-uv-uf-tds-water-purifier-l/p/itm9deac384213d9?pid=WAPFT5AGGPGJMU7Z&lid=LSTWAPFT5AGGPGJMU7ZZFJDWO&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&spotlightTagId=BestsellerId_j9e%2Fabm%2Fi45&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPFT5AGGPGJMU7Z.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.466589+05:30
1RW7PI5W,Kinsco Aqua Flame 15 L RO + UV + UF + Copper + TDS Control Water Purifier,4949,20000,75% off,69,22,4.3,"['Electrical & Storage', '1 Year Warranty on Electrical items. For every visit customer need to pay extra . For more info call 1800-212-6766 (Monday to Saturday) 10.00 a.m to 6.00 p.m.']",https://www.flipkart.com/kinsco-aqua-flame-15-l-ro-uv-uf-copper-tds-control-water-purifier/p/itma935a71282a79?pid=WAPGHHYDHG5NQPHB&lid=LSTWAPGHHYDHG5NQPHBJDXISB&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPGHHYDHG5NQPHB.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.617546+05:30
KRYF1XO5,Aqua Fresh Wave COPPER MINERAL 15 L RO + UV + UF + TDS Water Purifier,4844,13999,65% off,2034,301,4,"['Electrical & Storage', 'Filtration Capacity: 12 L/hr', 'ONE YEAR OFFSITE WARRANTY ON ALL ELECTRONIC PARTS , INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 24 TO 48 HOURS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed']",https://www.flipkart.com/aqua-fresh-wave-copper-mineral-15-l-ro-uv-uf-tds-water-purifier/p/itm0a566140c8d76?pid=WAPFSYKGYWQHG3UG&lid=LSTWAPFSYKGYWQHG3UGR5DZN7&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPFSYKGYWQHG3UG.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.761885+05:30
R9BJDP9D,Aquagrand AquaXCrux Black Model With Copper Filter 12 L RO + UV + UF + Copper + TDS Control Water Puri...,4617,12500,63% off,122,16,4.3,"['Electrical & Storage', 'Filtration Capacity: 12 L/hr', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",https://www.flipkart.com/aquagrand-aquaxcrux-black-model-copper-filter-12-l-ro-uv-uf-tds-control-water-purifier/p/itm53bb42e276df5?pid=WAPGGHAGMYZJBEFV&lid=LSTWAPGGHAGMYZJBEFVQZFJF5&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPGGHAGMYZJBEFV.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:18.911457+05:30
1CGN4CW1,Pureit by HUL Copper+Mineral RO+UV+MF 8 L RO + UV Water Purifier with Copper Charge Technology,22490,27990,19% off,2528,384,4.5,"['Electrical & Storage', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",https://www.flipkart.com/pureit-hul-copper-mineral-ro-uv-mf-8-l-ro-uv-water-purifier-copper-charge-technology/p/itm9d14e431c6c58?pid=WAPFE2AZAG8YTSPM&lid=LSTWAPFE2AZAG8YTSPMTMAGHH&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_CD2pEEIXkFKQOlpoFff7jhgpinS32Wrp5ovkngznybpmUEMlEV%2F%2BWOLR0bIHo%2BtFCelg00%2BYT1jskVNpfLAInA%3D%3D&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:19.056481+05:30
NCT65FT4,KENT Ace Extra/ Ace Alkaline 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier wit...,15999,21000,23% off,36904,4370,4.4,"['Electrical & Storage', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",https://www.flipkart.com/kent-ace-extra-alkaline-8-l-ro-uv-uf-tds-control-tank-water-purifier/p/itm974abf3626343?pid=WAPFU3S8F3GAQATQ&lid=LSTWAPFU3S8F3GAQATQTHIJJJ&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPFU3S8F3GAQATQ.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:19.212560+05:30
7X10ACTK,KENT ULTRA STORAGE 8 L UV + UF Water Purifier,7490,9000,16% off,4355,552,4,"['Electrical & Storage', 'Filtration Capacity: 60 L/hr', '1 year domestic manufacturer warranty']",https://www.flipkart.com/kent-ultra-storage-8-l-uv-uf-water-purifier/p/itm0577adba7766a?pid=WAPEGN5JUZERJDGD&lid=LSTWAPEGN5JUZERJDGDKKOCPL&marketplace=FLIPKART&q=waterpurifier&store=j9e%2Fabm%2Fi45&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=aede85c9-0773-4580-959d-07849e0f6a50.WAPEGN5JUZERJDGD.SEARCH&ppt=None&ppn=None&ssid=qckqiignsg0000001668101842698&qH=69862b5d72f8c6ef,2022-11-10 23:07:19.497177+05:30
