u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
PC6WY1AC,DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphone Bluetooth Headset,399,1999,80% off,23381,0,3.7,[],https://www.flipkart.com/dayneo-twsl21-mini-wireless-bluetooth-headset-earphone/p/itmac7e0ccb65926?pid=ACCFU3G2HEJYHKSS&lid=LSTACCFU3G2HEJYHKSSF7NAD4&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCFU3G2HEJYHKSS.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:38.860810+05:30
C1WSSSC7,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast Charging, Pro+ Calling, Type C, IPX5 Water Resistant, Bluetooth v5.1, Voice Assistant Bluetooth Headset",1099,5499,80% off,45132,0,4,[],https://www.flipkart.com/boult-audio-airbass-y1-tws-earbuds-40h-playtime-fast-charging-pro-calling-type-c-ipx5-water-resistant-bluetooth-v5-1-voice-assistant-headset/p/itme8744184f1356?pid=ACCG9J7FQC4UP3WM&lid=LSTACCG9J7FQC4UP3WMPNWUC0&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCG9J7FQC4UP3WM.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.025353+05:30
CI4RH0UF,Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,699,2999,76% off,29403,0,3.8,[],https://www.flipkart.com/mivi-duopods-m30-earbuds-42-hours-playtime-made-india-deep-bass-bluetooth-headset/p/itmdbe76626d492d?pid=ACCGHMD3HQUVBNZU&lid=LSTACCGHMD3HQUVBNZUB0IJVU&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCGHMD3HQUVBNZU.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.191644+05:30
OV58AY5I,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,799,4999,84% off,108614,0,3.9,[],https://www.flipkart.com/boult-audio-airbass-xpods-tws-earbuds-20h-playtime-bluetooth-headset/p/itmf7b97cd20ecff?pid=ACCG6AHNTAGG9GAE&lid=LSTACCG6AHNTAGG9GAE9S1ZZW&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_o2Xsli5b4%2B2LXri8u8BLM6nVqgS%2FRLA7hhplsyX8%2FVh%2Bu8L18h2i%2BZ5XJP5TQ8Gf14m52UoAVAxbbhXMU7QiLw%3D%3D&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.347964+05:30
H4E03RN9,"BHAVISHU Bluetooth Earphone with Mic HEADPHONE Bluetooth Headset (White, In the Ear)7 Bluetooth Headset",264,1999,86% off,0,0,0,[],https://www.flipkart.com/bhavishu-bluetooth-earphone-mic-headphone-headset-white-ear-7/p/itmf949044a231dd?pid=ACCGH4KENHHGJAZJ&lid=LSTACCGH4KENHHGJAZJJF1BIW&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCGH4KENHHGJAZJ.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.503351+05:30
G5PIE9YA,"BHAVISHU Bluetooth Earphone with Mic HEADPHONE Bluetooth Headset (White, In the Ear)24 Bluetooth Headset",264,1999,86% off,0,0,0,[],https://www.flipkart.com/bhavishu-bluetooth-earphone-mic-headphone-headset-white-ear-24/p/itmb584b72d6561a?pid=ACCGH4KEZFPMUWSH&lid=LSTACCGH4KEZFPMUWSHRB25LX&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCGH4KEZFPMUWSH.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.663143+05:30
FSD090PO,truke BTG1 Gaming earbuds with 60ms Low Latency | 13mm drivers with AAC codec Bluetooth Headset,799,3499,77% off,25435,0,3.9,[],https://www.flipkart.com/truke-btg1-gaming-earbuds-60ms-low-latency-13mm-drivers-aac-codec-bluetooth-headset/p/itm5bca4567be1ed?pid=ACCG5BDHUHJCZ4CG&lid=LSTACCG5BDHUHJCZ4CGYZPEN9&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCG5BDHUHJCZ4CG.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:39.849943+05:30
KPADAES3,SAMSUNG Galaxy Buds 2 Bluetooth Headset,7899,13990,43% off,2296,0,4.4,[],https://www.flipkart.com/samsung-galaxy-buds-2-bluetooth-headset/p/itm182de75644bb0?pid=ACCG6885MEFEYF4A&lid=LSTACCG6885MEFEYF4A7OTABZ&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_o2Xsli5b4%2B2LXri8u8BLM6nVqgS%2FRLA7hhplsyX8%2FVhPK4GOL1emK6XeuUHfviVZLjbq12mNSyO3%2BC1i3gdvCg%3D%3D&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:40.006459+05:30
DSITDS6N,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast Charging, Pro+ Calling, Type C, IPX5 Water Resistant, Bluetooth v5.1, Voice Assistant Bluetooth Headset",999,5499,81% off,45132,0,4,[],https://www.flipkart.com/boult-audio-airbass-y1-tws-earbuds-40h-playtime-fast-charging-pro-calling-type-c-ipx5-water-resistant-bluetooth-v5-1-voice-assistant-headset/p/itmce7f7503d8986?pid=ACCG9J7F2NMUB5H6&lid=LSTACCG9J7F2NMUB5H6K3TSRR&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCG9J7F2NMUB5H6.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:40.173044+05:30
9741KSWR,"ACESCREEN M10 Earbuds/TWs/buds 5.1 Earbuds with 280H Playtime, Headphones with Power Bank Bluetooth Headset",699,6999,90% off,420,0,3.2,[],https://www.flipkart.com/acescreen-m10-earbuds-tws-buds-5-1-earbuds-280h-playtime-headphones-power-bank-bluetooth-headset/p/itm66fa2bbcd9488?pid=ACCGG4BNWEPHABMG&lid=LSTACCGG4BNWEPHABMGVPB6UR&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=d5f84e98-a778-4c3a-9f20-90302ddda4d6.ACCGG4BNWEPHABMG.SEARCH&ppt=None&ppn=None&ssid=rxd8g6b2q80000001666438834827&qH=2951f68ff1fee1e0,2022-10-22 17:09:40.375843+05:30
