u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
F40AZ5EI,Seagate Expansion for Windows and Mac with 3 years Data Recovery Services – Portable 1 TB External Har...,4099,4999,18% off,2158,147,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-expansion-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itmcefa901213e7c?pid=ACCG3FE4FYCHZ3U2&lid=LSTACCG3FE4FYCHZ3U241JKWA&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_1&otracker=browse&fm=organic&iid=en_kg0lEUZ3jTAgzTf10lix9DOO%2FMe%2Bkrh8fPi3zeZLuE252wf9XwxyNRKha7zLj0piYHVBaxn3UDS8v2KEavj0EQ%3D%3D&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:21.374239+05:30
9WU7VY7P,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,4499,4999,10% off,11798,871,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itma7168da31ce14?pid=ACCG3FE4XPASNSSV&lid=LSTACCG3FE4XPASNSSVKNMTHF&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_2&otracker=browse&fm=organic&iid=en_kg0lEUZ3jTAgzTf10lix9DOO%2FMe%2Bkrh8fPi3zeZLuE3EvlZrAasnHTbjXucjdWnJmxE3qbAQcDBiMR%2BxxQGEXA%3D%3D&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:21.664238+05:30
GEJJANKU,TOSHIBA 1 TB External Hard Disk Drive (HDD),3499,6000,41% off,47,4,4.3,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-1-tb-external-hard-disk-drive-hdd/p/itm85c15ef087d09?pid=ACCGHWNF98UEVNW7&lid=LSTACCGHWNF98UEVNW7X4RRKA&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_3&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCGHWNF98UEVNW7.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:21.974239+05:30
Z0ILVGGI,TOSHIBA 2 TB External Hard Disk Drive (HDD),4999,8000,37% off,47,4,4.3,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-2-tb-external-hard-disk-drive-hdd/p/itmbfa7e5f04f501?pid=ACCGHWNF8FPVDHWH&lid=LSTACCGHWNF8FPVDHWHXBMULZ&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_4&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCGHWNF8FPVDHWH.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:22.293238+05:30
Q18XK9HQ,TOSHIBA Canvio Ready 1 TB External Hard Disk Drive (HDD),3699,6313,41% off,4887,365,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.2', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-canvio-ready-1-tb-external-hard-disk-drive-hdd/p/itmf8a3582a1d9dd?pid=ACCG2ZYZPTAPDUSK&lid=LSTACCG2ZYZPTAPDUSKCHGXA6&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_5&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCG2ZYZPTAPDUSK.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:22.587624+05:30
YE6FN3ZX,WD 1.5 TB Wired External Hard Disk Drive (HDD),4549,5600,18% off,78215,7131,4.4,"['Portable Hard Drive', 'Capacity: 1.5 TB', 'Connectivity: USB 3.0, USB 2.0', '1 Port', '2 Years Warranty']",https://www.flipkart.com/wd-1-5-tb-wired-external-hard-disk-drive-hdd/p/itmfcyh2wheuvhbk?pid=ACCFCYH2FGJBJRFS&lid=LSTACCFCYH2FGJBJRFSW7VVVN&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&spotlightTagId=BestsellerId_6bo%2Fjdy%2Fnl6&srno=b_1_6&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCFCYH2FGJBJRFS.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:22.895935+05:30
MSW8OC5J,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,5999,7999,25% off,11798,871,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-2-tb-external-hard-disk-drive-hdd/p/itm3ca076be6fb4b?pid=ACCG3FE4FHG8VH3U&lid=LSTACCG3FE4FHG8VH3UO4PBOC&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_7&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCG3FE4FHG8VH3U.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:23.240980+05:30
TJ7ZSTHE,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Por...,4499,4999,10% off,11798,871,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-one-touch-password-protection-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itm6c44dc4def352?pid=ACCG3FE4APVZGCXY&lid=LSTACCG3FE4APVZGCXYMHIJAQ&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_8&otracker=browse&fm=organic&iid=en_kg0lEUZ3jTAgzTf10lix9DOO%2FMe%2Bkrh8fPi3zeZLuE20DocbmTofz%2FOSWlOL72erkmbQ3H0vg9VpR%2FpGYh27BA%3D%3D&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:23.526884+05:30
JPDZ3E5I,TOSHIBA Canvio Ready 2 TB External Hard Disk Drive (HDD),5299,7773,31% off,4887,365,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.2', '1 Port', '3 Years Domestic Warranty']",https://www.flipkart.com/toshiba-canvio-ready-2-tb-external-hard-disk-drive-hdd/p/itmb38975870edf6?pid=ACCG2ZYZCHFZEDSH&lid=LSTACCG2ZYZCHFZEDSHDZKYXX&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_9&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCG2ZYZCHFZEDSH.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:23.880465+05:30
BTBZXN72,WD Elements 2 TB Wired External Hard Disk Drive (HDD),5799,7905,26% off,78215,7131,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0, USB 2.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-elements-2-tb-wired-external-hard-disk-drive-hdd/p/itmf5ga7rqpzjk4c?pid=ACCF5GA7DQB5UYKF&lid=LSTACCF5GA7DQB5UYKFQ9OORP&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_1_10&otracker=browse&fm=organic&iid=bc8e8c36-777a-4389-bc4b-3851efdb8d53.ACCF5GA7DQB5UYKF.SEARCH&ppt=None&ppn=None&ssid=lxrh0vj9400000001667798181215,2022-11-07 10:46:24.272443+05:30
