u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
R8KEQD8L,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,539,1899,71% off,79625,0,4.3,[],https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b?pid=ACCFUS9Q4YGKTPXZ&lid=LSTACCFUS9Q4YGKTPXZDI91AR&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_1&otracker=browse&fm=organic&iid=en_Lo14Zd4L6lbMoWKZnvzc2LKCOw49mprpI1jktVEqEU%2Fyo6%2FhSnEAXbsw4AD0%2BacgQp99mk7pg2AkM2vwqwIzlQ%3D%3D&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:24:58.516482+05:30
X52OKW5Q,SanDisk Ultra 128 GB MicroSDHC Class 10 120 Mbps  Memory Card,860,2500,65% off,83858,0,4.2,[],https://www.flipkart.com/sandisk-ultra-128-gb-microsdhc-class-10-120-mbps-memory-card/p/itmd4ced9a2fdb62?pid=ACCFXNGYHZZTGZPU&lid=LSTACCFXNGYHZZTGZPUVD9UOW&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_2&otracker=browse&fm=organic&iid=en_Lo14Zd4L6lbMoWKZnvzc2LKCOw49mprpI1jktVEqEU8dTmFAEP3rxEIPodHM9imvji5d%2B3OoBdi1QWB%2BFcQNDg%3D%3D&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:24:58.995709+05:30
WMWVBCDZ,SanDisk Ultra 32 GB MicroSDHC Class 10 120 Mbps  Memory Card,303,625,51% off,83858,0,4.2,[],https://www.flipkart.com/sandisk-ultra-32-gb-microsdhc-class-10-120-mbps-memory-card/p/itmc25b1cbf5fc02?pid=ACCFXNGYT6YJZVHZ&lid=LSTACCFXNGYT6YJZVHZNHMHQJ&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_3&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCFXNGYT6YJZVHZ.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:24:59.504564+05:30
C3FNEJGL,SanDisk Ultra 64 GB MicroSDHC Class 10 120 Mbps  Memory Card,429,1250,65% off,83858,0,4.2,[],https://www.flipkart.com/sandisk-ultra-64-gb-microsdhc-class-10-120-mbps-memory-card/p/itm3c44000f88683?pid=ACCFXNGY9XTRPMCH&lid=LSTACCFXNGY9XTRPMCHKBMXPA&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&spotlightTagId=BestsellerId_6bo%2Fjdy%2Ftby&srno=b_1_4&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCFXNGY9XTRPMCH.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:24:59.999720+05:30
0ZVLFM61,SAMSUNG Evo Plus 64 GB MicroSDXC Class 10 130 MB/s  Memory Card,479,1899,74% off,23658,0,4.4,[],https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-130-mb-s-memory-card/p/itmf7c2fb2236ab1?pid=ACCG9NPXHEGZ2YK8&lid=LSTACCG9NPXHEGZ2YK81MI55U&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_5&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCG9NPXHEGZ2YK8.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:00.606350+05:30
03DMN3PW,SAMSUNG Evo Plus 128 GB MicroSDXC Class 10 130 MB/s  Memory Card,949,3999,76% off,23595,0,4.4,[],https://www.flipkart.com/samsung-evo-plus-128-gb-microsdxc-class-10-130-mb-s-memory-card/p/itmbab01b617ec93?pid=ACCG9NPXBYFFFH2V&lid=LSTACCG9NPXBYFFFH2VQIQBES&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_6&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCG9NPXBYFFFH2V.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:01.144101+05:30
V9JNSG2X,SanDisk 2 32 GB MicroSDHC Class 4 4 MB/s  Memory Card,358,600,40% off,52889,0,4.2,[],https://www.flipkart.com/sandisk-2-32-gb-microsdhc-class-4-mb-s-memory-card/p/itmejjyx6rvayetd?pid=ACCCRRQZJFYGNFRM&lid=LSTACCCRRQZJFYGNFRMHVI0QH&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_7&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCCRRQZJFYGNFRM.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:01.614523+05:30
W7N27XLZ,Lexar Professional 1066x 1 SDXC Class 10 160 MB/s  Memory Card,16999,23000,26% off,11,0,4,[],https://www.flipkart.com/lexar-professional-1066x-1-sdxc-class-10-160-mb-s-memory-card/p/itmf302a4fa09c5f?pid=ACCGFZBZZMEUZCBD&lid=LSTACCGFZBZZMEUZCBDMCVCGA&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_8&otracker=browse&fm=organic&iid=en_Lo14Zd4L6lbMoWKZnvzc2LKCOw49mprpI1jktVEqEU9x3fpl2VYCkQlBJLARihtiVmVfoPCCaAAG%2BnOyc5t4HA%3D%3D&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:02.136124+05:30
1UJQBV88,HP U1 32 GB MicroSDHC Class 10 100 MB/s  Memory Card,319,1377,76% off,157093,0,4.2,[],https://www.flipkart.com/hp-u1-32-gb-microsdhc-class-10-100-mb-s-memory-card/p/itmf5zyf6eyzwxvf?pid=ACCF5ZYFVZYTX6ZJ&lid=LSTACCF5ZYFVZYTX6ZJQ0WRXD&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_9&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCF5ZYFVZYTX6ZJ.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:02.597764+05:30
C4D8BHIY,HP U1 64 GB MicroSDXC Class 10 100 MB/s  Memory Card,489,1700,71% off,35171,0,4.1,[],https://www.flipkart.com/hp-u1-64-gb-microsdxc-class-10-100-mb-s-memory-card/p/itm6a92c122fcd3a?pid=ACCF5ZYFNRUU3RCV&lid=LSTACCF5ZYFNRUU3RCVXLFKA6&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_10&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCF5ZYFNRUU3RCV.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:03.115763+05:30
2BTUQTLI,Lexar Professional 512 CFexpress Class 10 1750 MB/s  Memory Card,42199,54000,21% off,0,0,0,[],https://www.flipkart.com/lexar-professional-512-cfexpress-class-10-1750-mb-s-memory-card/p/itmb01d05e0b044a?pid=ACCGFZBZJJYGAZ3C&lid=LSTACCGFZBZJJYGAZ3CWNHU4W&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_11&otracker=browse&fm=organic&iid=en_Lo14Zd4L6lbMoWKZnvzc2LKCOw49mprpI1jktVEqEU%2FZkIg%2BuRgj%2BsOHh3mMlcTKL%2BAAopCDN%2BRAe4YS1U%2B8dQ%3D%3D&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:03.642274+05:30
AYTL9EG4,Lexar Professional 64 CFexpress Class 10 1750 MB/s  Memory Card,11869,15500,23% off,0,0,0,[],https://www.flipkart.com/lexar-professional-64-cfexpress-class-10-1750-mb-s-memory-card/p/itme01ee5d463616?pid=ACCGFZBZ5KMUPBE5&lid=LSTACCGFZBZ5KMUPBE5SNZAPF&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_12&otracker=browse&fm=organic&iid=en_Lo14Zd4L6lbMoWKZnvzc2LKCOw49mprpI1jktVEqEU%2B%2F9%2BLpdLLKLotpXjCb4zgpXidUpBxq2cWvL%2Bo5uOFPww%3D%3D&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:04.130274+05:30
0H716R90,Simmtronics HC 16 GB MicroSD Card Class 10 80 MB/s  Memory Card,252,499,49% off,894,0,4.1,[],https://www.flipkart.com/simmtronics-hc-16-gb-microsd-card-class-10-80-mb-s-memory/p/itmfek2bmhhg2rg6?pid=ACCFEJUNW6AJQQGT&lid=LSTACCFEJUNW6AJQQGTGRG5IF&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_13&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCFEJUNW6AJQQGT.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:04.603274+05:30
AYF84DDH,SanDisk Extreme 256 GB MicroSDXC UHS Class 3 160 Mbps  Memory Card,2399,3835,37% off,5622,0,4.4,[],https://www.flipkart.com/sandisk-extreme-256-gb-microsdxc-uhs-class-3-160-mbps-memory-card/p/itmc2278ad98a404?pid=ACCFQHZ9UHKCTR5X&lid=LSTACCFQHZ9UHKCTR5XPG4T1Y&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_14&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCFQHZ9UHKCTR5X.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:05.070376+05:30
8XJI8SBG,SAMSUNG EVO Plus 32 GB SD Card Class 10 95 MB/s  Memory Card,409,672,39% off,576989,0,4.4,[],https://www.flipkart.com/samsung-evo-plus-32-gb-sd-card-class-10-95-mb-s-memory/p/itmet6zfpfezjpbs?pid=ACCET6ZFCGEG7GZE&lid=LSTACCET6ZFCGEG7GZETFKPEW&marketplace=FLIPKART&store=6bo%2Fjdy%2Ftby&srno=b_1_15&otracker=browse&fm=organic&iid=869d297f-c908-4e89-93a5-efc79ea5e238.ACCET6ZFCGEG7GZE.SEARCH&ppt=None&ppn=None&ssid=eqbebqbc9s0000001665424537810,2022-10-10 23:25:05.573376+05:30
