u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
UEQFBCYJ,Lenovo 27 inch Full HD VA Panel with TUV Eye Care Monitor (D27-30),10899,16000,31% off,960,135,4.4,"['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'Response Time: 4 ms | Refresh Rate: 75 Hz', '3 Years Manufacturer Warranty']",https://www.flipkart.com/lenovo-27-inch-full-hd-va-panel-tuv-eye-care-monitor-d27-30/p/itm5ef04bd6ff54c?pid=MONFXZREMZYTJGNG&lid=LSTMONFXZREMZYTJGNGYRB0VL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_KwZGJAC77UytvSjImEgxPm8xF7AnAwpio9%2FkthsFIvOinGePAXE0rhKgtrymjJNvoCNWQHU0Q2BltbHm0K4EiA%3D%3D&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:05.103503+05:30
0DJV3TEE,DELL S Series 27 inch Full HD IPS Panel Ultra Slim Bezel Monitor (S2721HN),15599,28719,45% off,885,126,4.4,"['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Response Time: 4 ms | Refresh Rate: 75 Hz', 'HDMI Ports - 2', '3 Years Warranty']",https://www.flipkart.com/dell-s-series-27-inch-full-hd-ips-panel-ultra-slim-bezel-monitor-s2721hn/p/itm0d1621065504c?pid=MONGYDFQE2JJHNF3&lid=LSTMONGYDFQE2JJHNF3HYP52D&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_KwZGJAC77UytvSjImEgxPm8xF7AnAwpio9%2FkthsFIvPl4QScb4BNZrradlkNG%2BHnOiKpF1IBpmc9a%2Fo5%2F55jZA%3D%3D&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:05.483600+05:30
WOW1EPKA,SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL),8699,17290,49% off,2799,371,4.4,"['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 nits', 'Response Time: 5 ms | Refresh Rate: 75 Hz', 'HDMI Ports - 1', '3 Years Domestic Warranty']",https://www.flipkart.com/samsung-22-inch-full-hd-ips-panel-monitor-lf22t354fhwxxl/p/itm8dcc388bd901f?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCG4LB7V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONGAQTQKCEZGVSC.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:05.876095+05:30
EYRJEIBQ,"SAMSUNG 24 inch Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free Sync Mode, ...",9899,19100,48% off,2799,371,4.4,"['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 nits', 'Response Time: 5 ms | Refresh Rate: 75 Hz', 'HDMI Ports - 1', '3 Years Warranty on Product From Manufacturer']",https://www.flipkart.com/samsung-24-inch-full-hd-led-backlit-ips-panel-3-sided-borderless-display-game-free-sync-mode-eye-saver-mode-flicker-monitor-lf24t350fhwxxl/p/itm4e2d885641901?pid=MONFYGGACKSJX4MS&lid=LSTMONFYGGACKSJX4MSSUIOO3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONFYGGACKSJX4MS.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:06.266888+05:30
3VYX36U1,acer 21.5 inch Full HD LED Backlit VA Panel Monitor (EK220Q),8899,13750,35% off,1481,184,4.4,"['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 nits', 'Response Time: 5 ms | Refresh Rate: 75 Hz', 'HDMI Ports - 1', '3 Years Warranty Provided by the Manufacturer from Date of Purchase']",https://www.flipkart.com/acer-21-5-inch-full-hd-led-backlit-va-panel-monitor-ek220q/p/itm53fe18f0d4eaa?pid=MONG4GBU5GN9RNNK&lid=LSTMONG4GBU5GN9RNNK0YQLLF&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONG4GBU5GN9RNNK.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:06.650670+05:30
3R6DSDBL,acer 19.5 inch HD+ LED Backlit TN Panel Monitor (V206HQL),6299,9000,30% off,16302,2685,4.3,"['Panel Type: TN Panel', 'Screen Resolution Type: HD+', 'Brightness: 200 nits', 'Response Time: 5 ms | Refresh Rate: 60 Hz', 'HDMI Ports - 1', '3 Years Warranty']",https://www.flipkart.com/acer-19-5-inch-hd-led-backlit-tn-panel-monitor-v206hql/p/itmeygcwhszg2vfh?pid=MONEYGCHK5GHSN6B&lid=LSTMONEYGCHK5GHSN6BZGY24X&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONEYGCHK5GHSN6B.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:07.030307+05:30
3HSU8ALZ,MarQ by Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQII...,6899,12499,44% off,648,127,4.4,"['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'Brightness: 220 nits', 'Response Time: 5 ms | Refresh Rate: 75 Hz', '1 Year Warranty from the Date of Purchase']",https://www.flipkart.com/marq-flipkart-22-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-22fhdmvqiihb/p/itmd9f00e61abf4d?pid=MONGAYHGFUFM2HW5&lid=LSTMONGAYHGFUFM2HW5IKLUQ3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONGAYHGFUFM2HW5.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:07.415168+05:30
C0PO10RY,"DELL AW-Series 27 inch WQHD LED Backlit IPS Panel with Vesa Certified HDR 600, Height, Tilt, Swivel Ad...",103899,137099,24% off,0,0,0,"['Panel Type: IPS Panel', 'Screen Resolution Type: WQHD', 'Brightness: 450 nits', 'Response Time: 1 ms | Refresh Rate: 240 Hz', 'HDMI Ports - 2', '3 Years Domestic Warranty']",https://www.flipkart.com/dell-aw-series-27-inch-wqhd-led-backlit-ips-panel-vesa-certified-hdr-600-height-tilt-swivel-adjustable-gaming-monitor-aw2721d/p/itmb1c5445ee1c08?pid=MONG6UHUQHDTKGXN&lid=LSTMONG6UHUQHDTKGXNF47JPN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_KwZGJAC77UytvSjImEgxPm8xF7AnAwpio9%2FkthsFIvPotPVLMckxuaDruG8kGVeALCHaoFyYtZax95lhBL1Reg%3D%3D&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:07.795760+05:30
WZ2K2R35,"acer 23.6 inch Curved Full HD VA Panel with VESA Mount Support, 1500R Curvature, HDMI 1.4, Integrated ...",8399,12999,35% off,15,4,4.7,"['Panel Type: VA Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 nits', 'Response Time: 1 ms | Refresh Rate: 75 Hz', '3 Years Warranty']",https://www.flipkart.com/acer-23-6-inch-curved-full-hd-va-panel-vesa-mount-support-1500r-curvature-hdmi-1-4-integrated-speakers-gaming-monitor-ed240q/p/itm30fe5e5a30da7?pid=MONGHYDYGZVXTBS9&lid=LSTMONGHYDYGZVXTBS9BLPT6M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONGHYDYGZVXTBS9.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:08.174257+05:30
2Q1CY8H0,acer 21.5 inch Full HD IPS Panel White Color Ultra Slim Monitor (HA220Q),8899,15700,43% off,3573,684,4.5,"['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'VGA Support | HDMI', 'Inbuilt Speaker', 'Brightness: 250 nits', 'Response Time: 4 ms | Refresh Rate: 75 Hz', 'HDMI Ports - 1', '3 Years on Site']",https://www.flipkart.com/acer-21-5-inch-full-hd-ips-panel-white-color-ultra-slim-monitor-ha220q/p/itmfdfdjxg7gdzpf?pid=MONFDFDJVFMGY9NV&lid=LSTMONFDFDJVFMGY9NVGSZ2UN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONFDFDJVFMGY9NV.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:08.552356+05:30
YY5SAYEA,acer Nitro 23.8 inch Full HD LED Backlit IPS Panel Gaming Monitor (VG240Y),12409,17500,29% off,1200,166,4.5,"['Panel Type: IPS Panel', 'Screen Resolution Type: Full HD', 'Brightness: 250 Nits', 'Response Time: 0.5 ms | Refresh Rate: 165 Hz', 'HDMI Ports - 2', '3 Years Onsite Warranty from Date of Purchase']",https://www.flipkart.com/acer-nitro-23-8-inch-full-hd-led-backlit-ips-panel-gaming-monitor-vg240y/p/itm0cedfb5040f99?pid=MONFZA9NKSTZCQFP&lid=LSTMONFZA9NKSTZCQFP4GNH1U&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=afefc23c-78eb-4f13-8174-fa9f560cec8e.MONFZA9NKSTZCQFP.SEARCH&ppt=None&ppn=None&ssid=r8d23omhcg0000001664296946375&qH=08b5411f848a2581,2022-09-27 22:12:08.933106+05:30
