u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
ETC3DVRA,SanDisk Dual Drive Go 128 GB OTG Drive,999,2500,60% off,18303,0,4.2,[],https://www.flipkart.com/sandisk-dual-drive-go-128-gb-otg/p/itm66610e185e26a?pid=ACCG4P5F7GHAQG9G&lid=LSTACCG4P5F7GHAQG9GVH8AFF&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_1&otracker=browse&fm=organic&iid=en_D86%2BSt%2FoKmVOw30OUxEZ2lmG8se7v6Wt88yI5rLvqqGuZGeLAphjtsxyGs%2Ff7bWX4A3CrqAuhKP7CQd2DtVgeg%3D%3D&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:47.552923+05:30
3F1MUA7N,SanDisk SDDDC4-I35 256 GB OTG Drive,2129,4385,51% off,2326,0,4.2,[],https://www.flipkart.com/sandisk-sdddc4-i35-256-gb-otg-drive/p/itm510a27511a474?pid=ACCFURCCTMNJXDXA&lid=LSTACCFURCCTMNJXDXAIPH9KM&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_2&otracker=browse&fm=organic&iid=en_D86%2BSt%2FoKmVOw30OUxEZ2lmG8se7v6Wt88yI5rLvqqE%2BI2xJYIKDnoNsrKARCoF%2Fzjoov8x78cJMSnuGApJDRg%3D%3D&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:48.054923+05:30
APIZNZ5S,HP V236w 32 GB Pen Drive,263,750,64% off,73687,0,4.2,[],https://www.flipkart.com/hp-v236w-32-gb-pen-drive/p/itmcd00ee5b57ab1?pid=ACCEMA5FGTK2YZXV&lid=LSTACCEMA5FGTK2YZXVWCC6ZI&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_3&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCEMA5FGTK2YZXV.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:48.488925+05:30
654K9432,HP V236w 64 GB Pen Drive,377,1500,74% off,43417,0,4.2,[],https://www.flipkart.com/hp-v236w-64-gb-pen-drive/p/itmcd00ee5b57ab1?pid=ACCEMA53DFSNZMHU&lid=LSTACCEMA53DFSNZMHUDUOPKM&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&spotlightTagId=BestvalueId_6bo%2Fjdy%2Fuar&srno=b_1_4&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCEMA53DFSNZMHU.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:48.898122+05:30
E8S812WU,HP V236w 16 GB Pen Drive,366,500,26% off,21643,0,4.3,[],https://www.flipkart.com/hp-v236w-16-gb-pen-drive/p/itmcd00ee5b57ab1?pid=ACCEMA4STQPGJ55D&lid=LSTACCEMA4STQPGJ55DTUGY5X&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_5&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCEMA4STQPGJ55D.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:49.280254+05:30
9A2SMHRH,HP V236w 64 Pen Drive,655,1000,34% off,3583,0,3.9,[],https://www.flipkart.com/hp-v236w-64-pen-drive/p/itmcd00ee5b57ab1?pid=ACCFXZJZYGZNDWPC&lid=LSTACCFXZJZYGZNDWPCMMVJU1&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_6&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCFXZJZYGZNDWPC.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:49.699554+05:30
1ZNSIH7M,Sandisk Cruzer Blade 16 GB Utility Pendrive,255,450,43% off,243321,0,4.3,[],https://www.flipkart.com/sandisk-cruzer-blade-16-gb-utility-pendrive/p/itm24e166133fe11?pid=ACCCWPADYYFEJ7ZG&lid=LSTACCCWPADYYFEJ7ZGVPPMRL&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_7&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCCWPADYYFEJ7ZG.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:50.105750+05:30
NWM7XL0P,"SanDisk iXpand, SDIX70N-128G-GN6NE, Type C, iPhone, iPad, Mac 128 GB Pen Drive",4599,5519,16% off,65,0,4.4,[],https://www.flipkart.com/sandisk-ixpand-sdix70n-128g-gn6ne-type-c-iphone-ipad-mac-128-gb-pen-drive/p/itm5a337501eb55e?pid=ACCGYEMHZCXHUEPW&lid=LSTACCGYEMHZCXHUEPWHRGQ93&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_8&otracker=browse&fm=organic&iid=en_D86%2BSt%2FoKmVOw30OUxEZ2lmG8se7v6Wt88yI5rLvqqFrutk1%2F7Lslrqlo0hWIMM94EsRAu9ORhNatmVoV3ve6g%3D%3D&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:50.525811+05:30
MTFMJMBY,Sandisk Cruzer Blade USB Utility Pendrive 8 GB,263,400,34% off,81456,0,4.2,[],https://www.flipkart.com/sandisk-cruzer-blade-usb-utility-pendrive-8-gb/p/itm24e166133fe11?pid=ACCCWPAJDRFYMWAG&lid=LSTACCCWPAJDRFYMWAGJ72MHZ&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_9&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCCWPAJDRFYMWAG.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:50.954579+05:30
7ZDT8P0R,Lexar JumpDrive V40 16 GB Pen Drive,159,499,68% off,178,0,4.1,[],https://www.flipkart.com/lexar-jumpdrive-v40-16-gb-pen-drive/p/itma1a7659a4acf7?pid=ACCGHEM4TY9HEBYT&lid=LSTACCGHEM4TY9HEBYTFTP2N2&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_10&otracker=browse&fm=organic&iid=ed845d9c-1241-472e-a100-07161427a94a.ACCGHEM4TY9HEBYT.SEARCH&ppt=None&ppn=None&ssid=42rcpkw4ps0000001665335965372,2022-10-09 22:48:51.375004+05:30
