u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
IXVWF1HJ,Mi 10000 mAh Power Bank,905,1199,24% off,356843,0,4.4,[],https://www.flipkart.com/mi-10000-mah-power-bank/p/itmezqan8fzwpxz2?pid=PWBEZQANEGHEXPMC&lid=LSTPWBEZQANEGHEXPMCWIHYDH&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_1&otracker=search&fm=organic&iid=en_JyFpvSDwnyqrWEdCBfktR1Aa1GbXqp6Yccl2thpsyWmbnOXVweQB90O3CU8s%2BuZCcKY5WlyaZnukYM63uPcY5Q%3D%3D&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:29.324557+05:30
KR5FN611,Landmark 10000 mAh Power Bank,1329,2999,55% off,6,0,3.8,[],https://www.flipkart.com/landmark-10000-mah-power-bank/p/itma566834530b97?pid=PWBGGSJ2PKTXWVS6&lid=LSTPWBGGSJ2PKTXWVS66ZQRRC&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_2&otracker=search&fm=organic&iid=en_JyFpvSDwnyqrWEdCBfktR1Aa1GbXqp6Yccl2thpsyWkwskyVf38OgMSs3Cask4aOKpyzh4tX7x8K99oxIIPBlQ%3D%3D&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:29.797558+05:30
EOP33RIK,"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)",1999,2199,9% off,206328,0,4.3,[],https://www.flipkart.com/mi-3i-20000-mah-power-bank-fast-charging-18w/p/itmd42cbbe08e65e?pid=PWBFVGXXFGEBYRF5&lid=LSTPWBFVGXXFGEBYRF5DS7QMI&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_3&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBFVGXXFGEBYRF5.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:30.231559+05:30
6PCGRIDK,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)",799,1499,46% off,244125,0,4.2,[],https://www.flipkart.com/ambrane-10000-mah-power-bank-12-w-fast-charging/p/itma5c9f335f93fd?pid=PWBFNHZD4D8ZTHZM&lid=LSTPWBFNHZD4D8ZTHZMMRNE2O&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_4&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBFNHZD4D8ZTHZM.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:30.654558+05:30
LN0HBJSD,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)",799,1499,46% off,244125,0,4.2,[],https://www.flipkart.com/ambrane-10000-mah-power-bank-12-w-fast-charging/p/itmfgysrrxhrggnv?pid=PWBFGYHFCUTJGUQD&lid=LSTPWBFGYHFCUTJGUQDGDZPIE&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&spotlightTagId=BestsellerId_tyy%2F4mr%2Ffu6&srno=s_1_5&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBFGYHFCUTJGUQD.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:31.073558+05:30
0XPAFNC8,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)",1149,2199,47% off,269288,0,4.3,[],https://www.flipkart.com/mi-3i-10000-mah-power-bank-fast-charging-18w/p/itm360e844519a06?pid=PWBFVGXX3JVPFXZH&lid=LSTPWBFVGXX3JVPFXZH5UPUSL&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_6&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBFVGXX3JVPFXZH.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:31.469557+05:30
JYJ4W97E,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)",1149,2199,47% off,269288,0,4.3,[],https://www.flipkart.com/mi-3i-10000-mah-power-bank-fast-charging-18w/p/itm360e844519a06?pid=PWBFVGXXCWYHFQZQ&lid=LSTPWBFVGXXCWYHFQZQQ0IRUE&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_7&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBFVGXXCWYHFQZQ.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:31.901558+05:30
FPAE2JCB,"Callmate 30000 mAh Power Bank (15 W, Fast Charging)",1529,1999,23% off,1594,0,3.8,[],https://www.flipkart.com/callmate-30000-mah-power-bank-15-w-fast-charging/p/itmdbf7580046224?pid=PWBGFJPUMSUTWKTH&lid=LSTPWBGFJPUMSUTWKTH3YLWXX&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_8&otracker=search&fm=organic&iid=en_JyFpvSDwnyqrWEdCBfktR1Aa1GbXqp6Yccl2thpsyWkoVsWViYDqgCThdR8tWTJHvKyvos3V5x6JXNjqYFT9uQ%3D%3D&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:32.392764+05:30
6G5ITZ3F,"WINgFI 40000 mAh Power Bank (12 W, Fast Charging)",699,1999,65% off,16,0,3.1,[],https://www.flipkart.com/wingfi-40000-mah-power-bank-12-w-fast-charging/p/itm109f4b748de92?pid=PWBGHZQRYHWYSGP2&lid=LSTPWBGHZQRYHWYSGP2ZCJLM3&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_9&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBGHZQRYHWYSGP2.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:32.829533+05:30
W0E3FKVN,"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)",1499,2499,40% off,15632,0,4.3,[],https://www.flipkart.com/mi-10000-mah-power-bank-22-5-w-fast-charging/p/itm5ee8345d6a413?pid=PWBGYH7W2HKTB5MU&lid=LSTPWBGYH7W2HKTB5MUS6QE2X&marketplace=FLIPKART&q=power+bank&store=tyy%2F4mr%2Ffu6&srno=s_1_10&otracker=search&fm=organic&iid=9b96b9f7-fba1-4278-821c-7582d76de261.PWBGYH7W2HKTB5MU.SEARCH&ppt=None&ppn=None&ssid=nkrvuwzq280000001665338527053&qH=93838e3a65b51e46,2022-10-09 23:31:33.356422+05:30
