u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
B87EZNDR,SAMSUNG T7 500 GB External Solid State Drive (SSD),5899,12999,54% off,2833,0,4.5,[],https://www.flipkart.com/samsung-t7-500-gb-external-solid-state-drive-ssd/p/itm32193f02040e5?pid=ACCFTZGR8AHC5RUG&lid=LSTACCFTZGR8AHC5RUG1XTS7V&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_1&otracker=browse&fm=organic&iid=en_HXVBAMO76xsZlz15BYwM4WlLul5yhieqiF%2FkD3tlgsWPfF6gR7Wo3YX4UIkrnCKL3zhrhAzgmwjXjwvWoiRG9g%3D%3D&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:31.881654+05:30
JKMSHR2D,SAMSUNG T7 500 GB External Solid State Drive (SSD),5800,12999,55% off,2833,0,4.5,[],https://www.flipkart.com/samsung-t7-500-gb-external-solid-state-drive-ssd/p/itmce3328fca4368?pid=ACCFTZGRZ95NMGYS&lid=LSTACCFTZGRZ95NMGYSFOC5KI&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_2&otracker=browse&fm=organic&iid=en_HXVBAMO76xsZlz15BYwM4WlLul5yhieqiF%2FkD3tlgsWpSGBvTCDnWmKebN%2F22Z0vcj5GkHISxavExvQ39y0Dmg%3D%3D&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:32.408814+05:30
YYNPB0UK,"Crucial BX500 3D NAND 2.5-inch 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (CT500BX500SSD1)",2599,4667,44% off,14,0,4.4,[],https://www.flipkart.com/crucial-bx500-3d-nand-2-5-inch-500-gb-desktop-laptop-internal-solid-state-drive-ssd-ct500bx500ssd1/p/itm5e7cc53cc3352?pid=IHDGGD2837ERMWZA&lid=LSTIHDGGD2837ERMWZAS2KVZT&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&spotlightTagId=BestsellerId_6bo%2Fjdy%2Fdus&srno=b_1_3&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.IHDGGD2837ERMWZA.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:32.845058+05:30
18JPL61K,"Crucial BX500 240 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT240BX500SSD1)",1699,3200,46% off,11463,0,4.5,[],https://www.flipkart.com/crucial-bx500-240-gb-laptop-desktop-internal-solid-state-drive-ssd-ct240bx500ssd1/p/itm47385821d256d?pid=ACCFNFUKF9BKE5PS&lid=LSTACCFNFUKF9BKE5PSEGW29B&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_4&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.ACCFNFUKF9BKE5PS.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:33.235549+05:30
SG121U9T,"Crucial BX500 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT480BX500SSD1)",2598,5300,50% off,2658,0,4.5,[],https://www.flipkart.com/crucial-bx500-480-gb-laptop-desktop-internal-solid-state-drive-ssd-ct480bx500ssd1/p/itmef6b6814d57d8?pid=ACCFNFUK3APGNBAU&lid=LSTACCFNFUK3APGNBAUCPWJUF&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_5&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.ACCFNFUK3APGNBAU.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:33.672762+05:30
QP2N67FI,"Crucial P2 500 GB Laptop, Desktop Internal Solid State Drive (SSD) ((CT500P2SSD8) 3D NAND)",3239,5400,40% off,264,0,4.2,[],https://www.flipkart.com/crucial-p2-500-gb-laptop-desktop-internal-solid-state-drive-ssd-ct500p2ssd8-3d-nand/p/itm4aaa67f655e76?pid=IHDFTZ58EVPCXTCJ&lid=LSTIHDFTZ58EVPCXTCJCCXEXD&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_6&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.IHDFTZ58EVPCXTCJ.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:34.239715+05:30
Z3YFC2SQ,"WESTERN DIGITAL WD Green SATA 240 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS240G3G0A)",1989,4300,53% off,176,0,4.3,[],https://www.flipkart.com/western-digital-wd-green-sata-240-gb-desktop-laptop-internal-solid-state-drive-ssd-wds240g3g0a/p/itm6043c15463122?pid=IHDGEMBPMHSZPUHM&lid=LSTIHDGEMBPMHSZPUHM8IMRN7&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_7&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.IHDGEMBPMHSZPUHM.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:34.626795+05:30
LVIQ3RP8,"WESTERN DIGITAL WD Blue SATA 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS500G3B0A)",3709,6600,43% off,0,0,0,[],https://www.flipkart.com/western-digital-wd-blue-sata-500-gb-desktop-laptop-internal-solid-state-drive-ssd-wds500g3b0a/p/itmc0e1891c1e310?pid=IHDGGHK3J3TKN3EB&lid=LSTIHDGGHK3J3TKN3EBKOXG8I&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_8&otracker=browse&fm=organic&iid=en_HXVBAMO76xsZlz15BYwM4WlLul5yhieqiF%2FkD3tlgsV8T%2FM4nKs6TY%2F2yVO0P64SswDL%2Bun6A2QrMTsqGzngGA%3D%3D&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:35.159628+05:30
9OS1R5GW,SanDisk Extreme Portable SDSSDE61-1T00-G25 1 TB Wired External Solid State Drive (SSD),9299,32000,70% off,1445,0,4.3,[],https://www.flipkart.com/sandisk-extreme-portable-sdssde61-1t00-g25-1-tb-wired-external-solid-state-drive-ssd/p/itm0c206e0687ae9?pid=ACCGYSPEYXV2EUPW&lid=LSTACCGYSPEYXV2EUPWDNUB4W&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_9&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.ACCGYSPEYXV2EUPW.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:35.759262+05:30
TAFJBJX4,SAMSUNG T7 1 TB External Solid State Drive (SSD),8899,23999,62% off,2833,0,4.5,[],https://www.flipkart.com/samsung-t7-1-tb-external-solid-state-drive-ssd/p/itmce3d59cd47952?pid=ACCFTZGREYWPY4GE&lid=LSTACCFTZGREYWPY4GEO8YLTB&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_10&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.ACCFTZGREYWPY4GE.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:36.239108+05:30
U9FXP8AW,SAMSUNG T7 1 TB External Solid State Drive (SSD),8899,23999,62% off,2833,0,4.5,[],https://www.flipkart.com/samsung-t7-1-tb-external-solid-state-drive-ssd/p/itmd533336b46fa3?pid=ACCFTZGRJ7AG6ZJB&lid=LSTACCFTZGRJ7AG6ZJBVBWSUD&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_11&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.ACCFTZGRJ7AG6ZJB.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:36.691756+05:30
R3JNOGIF,"KINGSTON A400 240 GB Laptop, Desktop Internal Solid State Drive (SSD) (SA400S37/240GIN)",1970,5088,61% off,6,0,3.7,[],https://www.flipkart.com/kingston-a400-240-gb-laptop-desktop-internal-solid-state-drive-ssd-sa400s37-240gin/p/itm9f6cfde39fbad?pid=IHDFUKHUHJFVVZMF&lid=LSTIHDFUKHUHJFVVZMFHLHLFW&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_12&otracker=browse&fm=organic&iid=en_HXVBAMO76xsZlz15BYwM4WlLul5yhieqiF%2FkD3tlgsV%2FywdBaR0%2FHjGce2cq86yBTY5a1RZShHTw8dlAq8C5VQ%3D%3D&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:37.158971+05:30
YKEIR5TV,"WESTERN DIGITAL WD Blue NVMe SN570 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (WDS250G3B0C)",2489,3467,28% off,172,0,4.4,[],https://www.flipkart.com/western-digital-wd-blue-nvme-sn570-250-gb-laptop-desktop-internal-solid-state-drive-ssd-wds250g3b0c/p/itmd943a795e43e0?pid=IHDG94YFVNEU7K5Y&lid=LSTIHDG94YFVNEU7K5YN1ABD3&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_13&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.IHDG94YFVNEU7K5Y.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:37.550531+05:30
6FJ1XHVB,"Consistent (CTSSD128S6) 128 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (S6)",975,3999,75% off,519,0,4.3,[],https://www.flipkart.com/consistent-ctssd128s6-128-gb-laptop-desktop-all-one-pc-s-internal-solid-state-drive-ssd-s6/p/itm183a46f039abb?pid=IHDGFZ7HJVGMPWYX&lid=LSTIHDGFZ7HJVGMPWYXTVTCDO&marketplace=FLIPKART&store=6bo%2Fjdy%2Fdus&srno=b_1_14&otracker=browse&fm=organic&iid=b96a7864-5059-4aef-ae1f-a113d432ea93.IHDGFZ7HJVGMPWYX.SEARCH&ppt=None&ppn=None&ssid=qfb702q1kg0000001664295653065,2022-09-27 21:50:38.034568+05:30
