u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
NYEYJPPU,Adsun 60 cm (24 inch) HD Ready LED TV,5088,12999,60% off,11000,1579,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",https://www.flipkart.com/adsun-60-cm-24-inch-hd-ready-led-tv/p/itmffmnvahug733g?pid=TVSFFMNVK6GTCCKZ&lid=LSTTVSFFMNVK6GTCCKZWJCKBQ&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_ZV%2BuKf8U1noRP3hEkakNgdMPjTFzOE6%2B2ySqIp%2BR4BZ0n4RJysUt6kaRwNpN8MaFmUb0r6TpxpfpMCmX%2FxSXdQ%3D%3D&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:56.679345+05:30
5W6LUJVZ,Adsun 80 cm (32 inch) HD Ready LED TV,6653,16999,60% off,11000,1579,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",https://www.flipkart.com/adsun-80-cm-32-inch-hd-ready-led-tv/p/itmffmnvusydzajr?pid=TVSFFMNVXFU4DFW4&lid=LSTTVSFFMNVXFU4DFW4CHQWEE&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_ZV%2BuKf8U1noRP3hEkakNgdMPjTFzOE6%2B2ySqIp%2BR4Bb9DLZpyMp%2B4FlhK7nmIi%2Bk32TUqSJV2E0T3DyOFI3wPw%3D%3D&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:57.045064+05:30
AJVQPNJS,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),12499,24999,50% off,301205,28703,4.4,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product and 2 Years for Panel']",https://www.flipkart.com/mi-5a-80-cm-32-inch-hd-ready-led-smart-android-tv-dolby-audio-2022-model/p/itm98501ffa297ba?pid=TVSGD5CS2SDUUZGN&lid=LSTTVSGD5CS2SDUUZGNWGZUUA&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSGD5CS2SDUUZGN.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:57.427305+05:30
ZD5VN5H2,realme 80 cm (32 inch) HD Ready LED Smart Android TV,10999,17999,38% off,209810,23892,4.3,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Domestic Warranty, 2 Years on Panel']",https://www.flipkart.com/realme-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm56d1cf16da75b?pid=TVSFRTJQTZVKTF6Y&lid=LSTTVSFRTJQTZVKTF6YTYQNP6&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSFRTJQTZVKTF6Y.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:57.823270+05:30
F0NIV7YL,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,12980,21990,40% off,42111,3781,4.4,"['Operating System: WebOS', 'HD Ready 1366 x 768 Pixels', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']",https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-webos-tv/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSFTW4CSRW8PGDQ.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:58.188535+05:30
9TONTYG8,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,13499,18900,28% off,58560,5223,4.4,"['Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty On Panel']",https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv-2022-model/p/itm3c07ddc2dd25d?pid=TVSGHY2UZA9YHWQN&lid=LSTTVSGHY2UZA9YHWQNNQENTU&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSGHY2UZA9YHWQN.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:58.559961+05:30
1STRDAW7,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,21999,31999,31% off,118042,10863,4.3,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",https://www.flipkart.com/oneplus-y1s-108-cm-43-inch-full-hd-led-smart-android-tv-11-bezel-less-frame/p/itm178846d2e1567?pid=TVSGAXEVSNT3HBQA&lid=LSTTVSGAXEVSNT3HBQA27QSBA&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSGAXEVSNT3HBQA.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:59.026700+05:30
WU35MLYO,Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,7829,21999,64% off,11000,1579,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '3 Years of warranty']",https://www.flipkart.com/adsun-80-cm-32-inch-hd-ready-led-smart-android-based-tv/p/itmffmnvy7khsuzx?pid=TVSFFMNVUVNS3SHF&lid=LSTTVSFFMNVUVNS3SHFVWHTAU&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_ZV%2BuKf8U1noRP3hEkakNgdMPjTFzOE6%2B2ySqIp%2BR4Bbvngh6ypTjPESH6tBygtEjjZ5ZnQISbb9viqC7XJGt8w%3D%3D&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:59.393427+05:30
2Z2TZRAB,OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,18999,27999,32% off,118042,10863,4.3,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Warranty on Product and 1 Year Additional Warranty for Panel']",https://www.flipkart.com/oneplus-y1-100-cm-40-inch-full-hd-led-smart-android-tv-dolby-audio/p/itmdcbd9784403b2?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8MWAMJF&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:56:59.830350+05:30
5EV30V7D,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,12999,21999,40% off,118042,10863,4.3,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']",https://www.flipkart.com/oneplus-y1s-80-cm-32-inch-hd-ready-led-smart-android-tv-11-bezel-less-frame/p/itm0a39edd7df236?pid=TVSGAXEVXNG9YBUM&lid=LSTTVSGAXEVXNG9YBUMLGWYAS&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSGAXEVXNG9YBUM.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:57:00.526802+05:30
YQ6T5PDE,realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,9999,21999,54% off,27302,2437,4.3,"['Youtube', 'Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'Direct LED', '1 Year Warranty on Product and 2 Years Warranty on the Display Panel']",https://www.flipkart.com/realme-neo-80-cm-32-inch-hd-ready-led-smart-linux-tv/p/itm3493defce7f54?pid=TVSG6EFEFQTYNBMC&lid=LSTTVSG6EFEFQTYNBMCTRC86C&marketplace=FLIPKART&q=tvs&store=ckf%2Fczl&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=8958d747-8504-4778-bb16-39d273efe748.TVSG6EFEFQTYNBMC.SEARCH&ppt=None&ppn=None&ssid=4zs2klz4000000001664551641801&qH=f3d320408efc5ab6,2022-09-30 20:57:00.917993+05:30
